type,country_code,series_code,description,country_name,series_name
Country-Series,AFG,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Afghanistan,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,AFG,SP.POP.TOTL,Data source: United Nations World Population Prospects,Afghanistan,"Population, total"
Country-Series,AFG,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are World Bank staff estimates. Short-term debt before 2015 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.",Afghanistan,"External debt stocks, total (DOD, current US$)"
Country-Series,AGO,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Short-term debt and long-term private nonguaranteed debt data for 2024 are sourced from the National Bank of Angola. DSSI eligible and participating in 2020, 2021 and 2022.",Angola,"External debt stocks, total (DOD, current US$)"
Country-Series,AGO,SP.POP.TOTL,Data source: United Nations World Population Prospects,Angola,"Population, total"
Country-Series,AGO,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Angola,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ALB,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Albania,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ALB,SP.POP.TOTL,"Data source: Institute of Statistics, Eurostat",Albania,"Population, total"
Country-Series,ALB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,Albania,"External debt stocks, total (DOD, current US$)"
Country-Series,ARG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Short-term debt data for 2023 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of Paris Club debt restructuring agreement.,Argentina,"External debt stocks, total (DOD, current US$)"
Country-Series,ARG,SP.POP.TOTL,"Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",Argentina,"Population, total"
Country-Series,ARG,DT.DOD.DPNG.CD,Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.,Argentina,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
Country-Series,ARG,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Argentina,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ARM,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Armenia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ARM,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced from the Central Bank of Armenia.,Armenia,"External debt stocks, total (DOD, current US$)"
Country-Series,ARM,SP.POP.TOTL,Data source: United Nations World Population Prospects,Armenia,"Population, total"
Country-Series,AZE,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Azerbaijan,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,AZE,SP.POP.TOTL,"Data source: Eurostat, State Statistical Committee.",Azerbaijan,"Population, total"
Country-Series,AZE,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are World Bank staff estimates based on the market data and country report. Short-term debt for 2024 is based on data from the BIS.,Azerbaijan,"External debt stocks, total (DOD, current US$)"
Country-Series,BDI,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Burundi,"External debt stocks, total (DOD, current US$)"
Country-Series,BDI,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Burundi,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BDI,SP.POP.TOTL,Data source: United Nations World Population Prospects,Burundi,"Population, total"
Country-Series,BEN,SP.POP.TOTL,Data source: United Nations World Population Prospects,Benin,"Population, total"
Country-Series,BEN,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Benin,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BEN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are based on Central Bank IIP data. Short-term debt for 2024 is World Bank staff estimates using BIS data. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and not participating in 2020 and 2021.,Benin,"External debt stocks, total (DOD, current US$)"
Country-Series,BFA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Burkina Faso,"External debt stocks, total (DOD, current US$)"
Country-Series,BFA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Burkina Faso,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BFA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Burkina Faso,"Population, total"
Country-Series,BGD,SP.POP.TOTL,Data source: United Nations World Population Prospects,Bangladesh,"Population, total"
Country-Series,BGD,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Bangladesh,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BGD,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data and long-term private nonguaranteed debt for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and not participating in 2020 and 2021.,Bangladesh,"External debt stocks, total (DOD, current US$)"
Country-Series,BIH,DT.DOD.DPPG.CD,Prior to 1999 data on long-term public and publicly guaranteed debt include only IBRD and IMF loans.,Bosnia and Herzegovina,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
Country-Series,BIH,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Bosnia and Herzegovina,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BIH,SP.POP.TOTL,Data source: United Nations World Population Prospects,Bosnia and Herzegovina,"Population, total"
Country-Series,BIH,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 20182024 are World Bank staff estimates based on reports provided by the country; for 20052017, they are World Bank staff estimates. With the release of 2021 data, PNG data for the period 2018-2020 are revised based on reports provided by the country. Short-term debt figures are based on BIS data prior to 2018 and on the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds) thereafter.",Bosnia and Herzegovina,"External debt stocks, total (DOD, current US$)"
Country-Series,BLR,SP.POP.TOTL,"Data source: National Statistical Committee of the Republic of Belarus, Eurostat",Belarus,"Population, total"
Country-Series,BLR,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Belarus,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BLR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are World Bank staff estimates based on the original terms of the loans. Long-term private nonguaranteed and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,Belarus,"External debt stocks, total (DOD, current US$)"
Country-Series,BLZ,DT.DOD.DECT.CD,Long-term public and publicly guaranteed for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are based on data from the Central Bank. Short-term debt data are not available.,Belize,"External debt stocks, total (DOD, current US$)"
Country-Series,BLZ,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Belize,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BLZ,SP.POP.TOTL,Data source: United Nations World Population Prospects,Belize,"Population, total"
Country-Series,BOL,SP.POP.TOTL,Data source: United Nations World Population Prospects,Bolivia,"Population, total"
Country-Series,BOL,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Bolivia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BOL,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief.,Bolivia,"External debt stocks, total (DOD, current US$)"
Country-Series,BRA,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country.",Brazil,"External debt stocks, total (DOD, current US$)"
Country-Series,BRA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Brazil,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BRA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Brazil,"Population, total"
Country-Series,BTN,SP.POP.TOTL,Data source: United Nations World Population Prospects,Bhutan,"Population, total"
